rank,player,country,points,record,owr,oowp,deck,player_url
302,Matt Bacnis,US,26,8 - 4 - 2,58.27%,58.54%,ogerpon,https://play.limitlesstcg.net/0070/player/0869
303,Diego Martinez,MX,26,8 - 4 - 2,58.24%,55.86%,dragapult,https://play.limitlesstcg.net/0070/player/2495
304,Austin Brown,US,26,8 - 4 - 2,58.04%,55.41%,dragapult,https://play.limitlesstcg.net/0070/player/0517
305,Imad Khan,US,26,8 - 4 - 2,58.04%,54.76%,zoroark,https://play.limitlesstcg.net/0070/player/3483
306,Clarence Chen,US,26,8 - 4 - 2,58.04%,54.55%,slowking,https://play.limitlesstcg.net/0070/player/2149
307,Cody Graham,US,26,8 - 4 - 2,57.33%,56.51%,honchkrow,https://play.limitlesstcg.net/0070/player/3199
308,Irvin De Los Rios,MX,26,8 - 4 - 2,57.29%,56.93%,dragapult,https://play.limitlesstcg.net/0070/player/1140
309,Amani Edwards,US,26,8 - 4 - 2,57.18%,55.44%,lucario-mega,https://play.limitlesstcg.net/0070/player/0729
310,Anthony Watanabe,US,26,8 - 4 - 2,57.16%,56.92%,dragapult,https://play.limitlesstcg.net/0070/player/0205
311,Samuel Sun,US,26,8 - 4 - 2,57.13%,55.83%,dragapult,https://play.limitlesstcg.net/0070/player/0998
312,Paul Abarca,US,26,8 - 4 - 2,57.12%,55.04%,trevenant,https://play.limitlesstcg.net/0070/player/2544
313,Weston Gibbon,US,26,8 - 4 - 2,57.02%,55.15%,garchomp,https://play.limitlesstcg.net/0070/player/0918
314,Russell Monteiro,US,26,7 - 2 - 5,56.99%,54.40%,dragapult,https://play.limitlesstcg.net/0070/player/3001
315,Priyam Patel,IN,26,8 - 4 - 2,56.95%,55.37%,dragapult,https://play.limitlesstcg.net/0070/player/1916
316,Cody Hope,US,26,8 - 4 - 2,56.57%,55.59%,ogerpon,https://play.limitlesstcg.net/0070/player/3633
317,Carlos Fuentes,US,26,8 - 4 - 2,56.56%,59.94%,dragapult,https://play.limitlesstcg.net/0070/player/2305
318,Gwen Tran,US,26,8 - 4 - 2,56.36%,55.39%,dragapult,https://play.limitlesstcg.net/0070/player/2553
319,Jeff Heimann,US,26,8 - 4 - 2,56.34%,56.67%,mewtwo,https://play.limitlesstcg.net/0070/player/2938
320,Bradley Dallaire,US,26,8 - 4 - 2,56.05%,56.00%,slowking,https://play.limitlesstcg.net/0070/player/0406
321,Anthony Thiessen,US,26,8 - 4 - 2,55.91%,56.11%,alakazam,https://play.limitlesstcg.net/0070/player/1897
322,Yoshiyuki Yamaguchi,JP,26,8 - 4 - 2,55.87%,54.43%,zoroark,https://play.limitlesstcg.net/0070/player/1232
323,Joseph Bjerg,US,26,8 - 4 - 2,55.84%,56.40%,absol-mega,https://play.limitlesstcg.net/0070/player/2519
324,Elineury Collado,US,26,8 - 4 - 2,55.83%,55.93%,zoroark,https://play.limitlesstcg.net/0070/player/2456
325,Garrett Williamson,US,26,8 - 4 - 2,55.63%,55.74%,beedrill,https://play.limitlesstcg.net/0070/player/3570
326,Christopher Abreu,US,26,8 - 4 - 2,55.55%,54.73%,crustle,https://play.limitlesstcg.net/0070/player/2089
327,Matthew Newton,US,26,8 - 4 - 2,55.49%,54.94%,zoroark,https://play.limitlesstcg.net/0070/player/0946
328,William Kiefer,US,26,7 - 2 - 5,55.47%,54.65%,crustle,https://play.limitlesstcg.net/0070/player/2296
329,Reno Bernardo,US,26,8 - 4 - 2,55.29%,57.11%,dragapult,https://play.limitlesstcg.net/0070/player/2180
330,Matt McGrath,US,26,8 - 4 - 2,55.29%,56.61%,dragapult,https://play.limitlesstcg.net/0070/player/3611
331,Jose Roberto CABRIALES DE HOYOS,MX,26,8 - 4 - 2,55.04%,55.28%,alakazam,https://play.limitlesstcg.net/0070/player/2634
332,clayton may,US,26,8 - 4 - 2,55.00%,56.60%,alakazam,https://play.limitlesstcg.net/0070/player/3249
333,Elliott Zech,US,26,8 - 4 - 2,54.91%,54.26%,honchkrow,https://play.limitlesstcg.net/0070/player/2126
334,Octavio Rojo Morales,US,26,8 - 4 - 2,54.56%,56.17%,dragapult,https://play.limitlesstcg.net/0070/player/0074
